code,latest_close,rsi,rsi_low_days,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,s_fundamental,total_score,sector,s_news
601038,14.67,59.333333333333336,0,0.6493586630209895,0.8622673591737597,True,0.3546601800009446,-0.032959789057350086,-0.03359683794466406,0.55,-0.02004008016032066,一拖股份,False,,0.0,-0.3520526925267578,-0.6757412732428177,1.342163446479234,-0.7004350914153417,1.7153336911706432,0,0,1.2924372731333111,0.0,0,0.46018544093763536,其他,0.0
603638,23.82,63.12849162011173,0,0.572991081461777,0.6732391508628054,True,0.3560455824473533,-0.07852998065764027,-0.07852998065764027,0.5,-0.028151774785801775,艾迪精密,False,,0.0,-0.6542142101338118,-0.44897151493290816,1.9391832594430358,-0.7161549040738963,1.7153336911706432,0,0,0.7262811225129664,0.0,0,0.46018279259175565,其他,0.0
600094,4.7,42.85714285714289,0,0.08062734821314634,0.9855844433455687,True,0.35181108946526046,-0.06187624750498999,-0.16518650088809939,0.3,-0.008438818565400852,大名城,False,,0.0,0.9597425851597177,1.013078251600357,0.9526832562719385,-0.6681071786241406,1.7153336911706432,0,0,-1.5383434799684104,0.0,0,0.44990073227495264,其他,0.0
000089,7.16,44.11764705882351,0,0.11718866541735547,1.96651037054059,True,0.1236133432227757,-0.020519835841313228,-0.02981029810298097,0.45,-0.012413793103448256,深圳机场,False,,0.0,0.8593842249150917,0.9045112275227134,-2.145437488870719,1.921195178488978,0.2792403683301047,0,0,0.16012497189262237,0.0,0,0.4496912955372911,其他,0.0
300184,11.02,59.28853754940709,0,0.6487316894990822,1.0556515201443741,True,0.34660483788744106,-0.04835924006908465,-0.04835924006908465,0.55,-0.015192135835567444,力源信息,False,,0.0,-0.3484861582663271,-0.673879506363119,0.7313859511812095,-0.6090331531171266,1.7153336911706432,0,0,1.2924372731333111,0.0,0,0.4369511213778066,科技,0.0
002243,10.6,52.41935483870966,0,0.16958797784191967,1.471288447729585,True,0.3434357889700187,-0.06935908691834947,-0.0774586597040906,0.5,-0.05272564789991063,通产丽星,False,,0.0,0.19842190609965046,0.7489140595685262,-0.5813465927339919,-0.5730747531469133,1.7153336911706432,0,0,0.7262811225129664,0.0,0,0.436823836078124,其他,0.0
605507,27.54,65.68047337278108,0,0.4597206835235331,1.3390713258615587,True,0.30797260228686796,-0.04341785342132687,-0.05620287868403018,0.5,-0.019579921680313306,国邦医药,False,,0.0,-0.857396955364355,-0.11262066762727939,-0.16375684740661836,-0.1706829049301001,1.7153336911706432,0,0,0.7262811225129664,0.0,0,0.4355161910569822,医药,0.0
601033,15.53,57.692307692307665,0,0.7371603069842099,1.037731111689991,True,0.14347020386343087,-0.00703324808184147,-0.012714558169103718,0.45,0.006480881399870464,永兴股份,False,,0.0,-0.22139811618092572,-0.9364639146337089,0.7879851169843948,1.6958843815669056,0.2792403683301047,0,0,0.16012497189262237,0.0,0,0.4324101615983675,其他,0.0
601375,4.39,57.627118644067785,0,0.4830089641328751,1.1535919237432302,True,0.18270881118077759,-0.017897091722595126,-0.030905077262693315,0.55,0.0022831050228309113,中原证券,False,,0.0,-0.21620791849769752,-0.18177406567143614,0.4220545452462798,1.25065378621878,0.2792403683301047,0,0,1.2924372731333111,0.0,0,0.42682813742676445,金融,0.0
600757,9.08,52.27272727272729,0,0.3344439002073722,1.1134640880631534,True,0.19789477241988745,-0.017316017316017285,-0.06198347107438018,0.5,-0.008733624454148492,长江传媒,False,,0.0,0.21009604575664778,0.2593825475383269,0.5487928409029351,1.0783425084830536,0.2792403683301047,0,0,0.7262811225129664,0.0,0,0.41759271540885357,传媒,0.0
600285,21.66,52.777777777777786,0,0.3993514363506944,1.0486609622510177,True,0.18444524698715606,-0.010507080858839668,-0.05332167832167822,0.45,0.006038086391082054,羚锐制药,False,,0.0,0.1698851202714261,0.0666428275787483,0.7534646747923376,1.2309508864291663,0.2792403683301047,0,0,0.16012497189262237,0.0,0,0.4160210953858867,医药,0.0
600163,6.45,71.24183006535952,0,1.087029149419908,1.5916357960833423,True,0.28669163001968667,-0.04302670623145399,-0.04302670623145399,0.65,0.04200323101777048,中闽能源,False,,0.0,-1.3001790084971419,-1.7169533899122575,-0.9614472774246904,0.07078692796876937,1.7153336911706432,0,0,2.4247495743739993,0.0,0,0.4094677464510758,能源,0.0
002936,1.94,72.72727272727273,0,0.9235853982412802,1.1274312368478046,True,0.0882568169051973,-0.00512820512820511,-0.00512820512820511,0.4,0.01041666666666674,郑州银行,False,,0.0,-1.4184464363948512,-1.4900440074442922,0.5046795065516263,2.3223767783990725,0.2792403683301047,0,0,-0.4060311787277217,0.0,0,0.4051350983841376,金融,0.0
601083,12.48,70.37037037037041,0,1.0431963722060815,1.5258399435142707,True,0.2729030495399694,-0.03926096997690531,-0.03926096997690531,0.55,0.02044153720359776,锦江航运,False,,0.0,-1.2307954507971501,-1.7169533899122575,-0.7536400514790133,0.22724247814514031,1.7153336911706432,0,0,1.2924372731333111,0.0,0,0.39309419319186933,其他,0.0
000550,18.39,64.03940886699507,0,0.6912906586198994,1.0361077415824496,True,0.1803278545408847,-0.02076677316293929,-0.030063291139240556,0.55,0.0005440696409140244,江铃汽车,False,,0.0,-0.7267392846983189,-0.8002562613211572,0.7931123100453431,1.277669901589647,0.2792403683301047,0,0,1.2924372731333111,0.0,0,0.3907347514795604,制造,0.0
001227,2.33,70.58823529411774,0,0.7478310107777574,1.0982252144834028,True,0.11608502139881818,-0.004273504273504147,-0.008510638297872353,0.4,0.008658008658008587,兰州银行,False,,0.0,-1.2481413402221522,-0.9681500420565499,0.5969227445594071,2.0066171502869197,0.2792403683301047,0,0,-0.4060311787277217,0.0,0,0.3868145468347566,金融,0.0
002100,7.15,58.02469135802471,0,0.623025600316183,1.112168790245239,True,0.1930620749007429,-0.011065006915629283,-0.03508771929824561,0.55,0.012747875354107707,天康生物,False,,0.0,-0.24786171671393895,-0.5975465452809462,0.5528838623853561,1.1331779101624329,0.2792403683301047,0,0,1.2924372731333111,0.0,0,0.3844706789851218,医药,0.0
